"mturk_id","trial_type","stim_type","train_type","category_type","dimension","z"
119,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.542334417141592
120,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",-0.580928600774688
120,"Similarity","HD","CONTROL","WITHIN","shape-relevant",-0.59641625991229
121,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.208704950621706
121,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.401858852291114
122,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.111617010629146
122,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.499968770599384
123,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.905676171264098
123,"Similarity","LD","CONTROL","WITHIN","shape-relevant",-0.00217051492676552
124,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.427962217922929
124,"Similarity","HD","TRAIN","WITHIN","shape-relevant",0.478786967077446
125,"XAB","HD","CONTROL","BETWEEN","shape-relevant",-0.0534324873582056
125,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.208704950621706
126,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.00940918664670362
126,"Similarity","HD","TRAIN","WITHIN","shape-relevant",-0.0825562889973631
127,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",-0.539809722541271
127,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",-0.409401111312152
128,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",0.678298542484483
128,"Similarity","LD","CONTROL","WITHIN","shape-relevant",0.101494654523671
129,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.145791965506527
129,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.447011712421625
130,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.0619079853529554
130,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.181111536097504
131,"XAB","HD","TRAIN","BETWEEN","shape-relevant",-0.0659152225001061
131,"XAB","HD","TRAIN","WITHIN","shape-relevant",0.15045218662617
132,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.033946658635098
132,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.07763623163175
